1893,0,16
1894,1,0
1897,1,1
1898,1,0
1899,2,0
1900,2,1
1902,4,2
1903,3,6
1904,8,1
1905,15,5
1906,7,4
1907,2,12
1908,9,8
1909,8,11
1910,8,12
1911,13,22
1912,34,55
1913,21,34
1914,28,60
1915,22,46
1916,37,50
1917,61,70
1918,18,47
1919,28,53
1920,21,43
1921,19,28
